year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,7,VCB,Banks,476190575522400.06,2004601.9048,1505981.4762,1326046.6587,0.0622,0.1999,5837.58,14.6,2.74
2024,7,EVF,Financial Services,10070750532700.0,10739879.5714,10456175.0159,6472932.4325,0.4746,0.0577,710.89,20.12,1.17
2024,7,SSI,Financial Services,51235257812550.0,13051202.1905,16237703.1746,21948595.004,0.2282,0.1118,1701.25,19.96,2.15
2024,7,BVH,Insurance,34146847144000.0,935321.1429,701414.3175,605618.246,0.381,0.0827,2398.28,19.18,1.56
2024,7,OIL,Oil & Gas,12710680555000.0,2461119.4286,1547035.6825,1242787.8294,0.847,0.0528,537.26,22.88,1.2
2024,7,ACB,Banks,106306458305600.0,8985668.6667,9586013.0317,8892646.8214,0.0641,0.2297,3540.71,6.72,1.42
2024,7,HCM,Financial Services,18444043186800.0,7834892.0952,7975626.1746,7253896.5833,0.3493,0.1004,1457.67,17.97,2.15
2024,7,VHC,Food & Beverage,15734166445900.0,1371309.5714,1136908.9841,951602.1746,0.3633,0.1037,3812.27,18.39,1.95
2024,7,BSI,Financial Services,10301382851600.0,687055.5714,833598.619,1093863.2222,0.5146,0.0959,2212.23,22.96,2.14
2024,7,SHS,Financial Services,13661033366400.0,11977151.9048,18104705.1587,22179026.3452,0.8423,0.0856,1075.65,15.62,1.28
2024,7,PNJ,Personal & Household Goods,31950443805500.0,1068082.2857,1402305.0952,1086698.4841,0.2272,0.2016,5949.46,16.05,3.05
2024,7,VGC,Construction & Materials,23359035000000.0,511861.6667,664386.7143,1029958.1111,0.3064,0.1537,2746.42,18.97,2.91
2024,7,PDR,Real Estate,20693419967100.0,6279177.2857,8595521.127,11993968.0992,1.7385,0.0789,1016.1,23.32,2.16
2024,8,SSI,Financial Services,47990609674200.0,9479384.1905,12446717.4444,21132548.3611,0.058,0.1205,1891.39,16.81,1.94
2024,8,OCB,Banks,29794952263000.0,2096120.2857,2059886.4127,2464313.4206,0.0577,0.1295,1850.14,7.84,0.99
2024,8,VPB,Banks,150744548419000.0,18584395.619,21203445.9365,15922138.8571,0.1098,0.0907,1530.7,12.41,1.13
2024,8,EIB,Banks,31683763893600.0,8231638.0476,8839752.8254,10106876.6349,0.1141,0.0979,1273.19,14.29,1.35
2024,8,MBS,Financial Services,13304254540800.0,3748000.619,4029618.6032,4359117.8651,0.0818,0.1439,1687.43,18.02,2.46
2024,8,BVH,Insurance,32365272510400.0,736388.8571,852312.4921,580284.7183,0.1767,0.0829,2431.11,17.93,1.45
2024,8,HCM,Financial Services,17845667739900.0,4810068.4286,6865423.6032,7189347.6984,0.1301,0.1102,1729.77,14.66,1.67
2024,8,LPB,Banks,74554518526400.0,5154083.6667,5382387.8889,4989359.2143,0.0532,0.2465,3480.62,8.37,1.94
2024,8,HDB,Banks,76600081043000.0,8775516.0476,7823593.5556,7100434.4841,0.0568,0.262,4158.38,6.32,1.51
2024,8,BID,Banks,271340748840000.0,2822882.9524,2172356.9683,1637557.7024,0.1012,0.188,4006.48,11.88,2.09
2024,8,ACB,Banks,109656451739600.0,9033951.2381,9333578.5873,9034823.2103,0.07,0.2285,3675.65,6.68,1.47
